ACCELEROMETER X (m/s²) ,ACCELEROMETER Y (m/s²) ,ACCELEROMETER Z (m/s²) ,GRAVITY X (m/s²) ,GRAVITY Y (m/s²) ,GRAVITY Z (m/s²) ,LINEAR ACCELERATION X (m/s²) ,LINEAR ACCELERATION Y (m/s²) ,LINEAR ACCELERATION Z (m/s²) ,GYROSCOPE X (rad/s) ,GYROSCOPE Y (rad/s) ,GYROSCOPE Z (rad/s) ,Activity
2.1021                 ,7.0573                 ,9.1253                 ,0.7947           ,4.7141           ,8.5625           ,-0.2999                      ,-0.1306                      ,-1.6908                      ,0.638               ,-0.6512             ,0.1206              ,       0
0.8273                 ,5.0474                 ,7.5667                 ,1.1633           ,4.4011           ,8.686            ,0.1347                       ,0.5836                       ,-2.7668                      ,-0.0081             ,0.7361              ,-0.3667             ,       0
4.9032                 ,-6.7771                ,-1.0161                ,6.6514           ,3.9571           ,6.0225           ,-2.0072                      ,-2.7984                      ,-2.297                       ,2.7259              ,-4.7776             ,4.0588              ,       0
8.2777                 ,-4.2117                ,-6.2518                ,6.5554           ,-6.1074          ,-3.987           ,-3.4504                      ,0.2119                       ,0.2021                       ,0.5105              ,0.1881              ,0.0786              ,       0
10.5664                ,-0.0341                ,-2.8355                ,6.937            ,-6.5764          ,-2.1905          ,-1.1662                      ,7.1967                       ,0.7288                       ,-0.1124             ,1.1246              ,1.2365              ,       0
0.6502                 ,-3.6108                ,-0.5827                ,4.525            ,-6.6127          ,-5.654           ,1.9591                       ,-0.4682                      ,8.8723                       ,0.7298              ,-2.4527             ,-0.7695             ,       0
0.1834                 ,-7.9418                ,-2.2992                ,-2.817           ,-9.3917          ,0.1759           ,2.9105                       ,0.8104                       ,0.3258                       ,1.6748              ,0.9041              ,0.5563              ,       0
0.5016                 ,-6.9434                ,1.8257                 ,-2.1254          ,-8.3208          ,-4.7346          ,1.2222                       ,2.8959                       ,7.7729                       ,-1.6181             ,-0.2676             ,-0.4913             ,       0
-2.6776                ,-7.2882                ,2.7858                 ,-3.265           ,-9.2125          ,-0.7998          ,3.1635                       ,1.9998                       ,0.5735                       ,1.3306              ,-3.1566             ,0.6159              ,       0
-1.191                 ,-2.8567                ,3.1376                 ,-2.6087          ,-8.5844          ,-3.9588          ,-4.2993                      ,-4.4024                      ,4.1912                       ,-1.31               ,-0.8056             ,-0.71               ,       0
1.6842                 ,-7.5491                ,-3.9344                ,-3.871           ,-8.9096          ,-1.3433          ,0.2525                       ,4.6366                       ,6.4251                       ,1.3614              ,-0.171              ,0.9271              ,       0
-7.7578                ,-8.904                 ,1.9119                 ,-3.1122          ,-8.7288          ,-3.2081          ,-4.8307                      ,-0.4773                      ,4.138                        ,-2.3188             ,0.2947              ,-0.6405             ,       0
-2.0671                ,-9.845                 ,-0.8533                ,-3.2067          ,-9.1807          ,-1.266           ,3.7488                       ,1.9682                       ,5.3889                       ,1.6084              ,0.8888              ,-0.8605             ,       0
-9.2279                ,-13.2374               ,0.9975                 ,0.2578           ,-9.7211          ,-1.2662          ,-2.516                       ,-6.409                       ,0.8845                       ,-2.6755             ,-0.9248             ,-3.1848             ,       0
7.9187                 ,-8.9207                ,1.9454                 ,6.2366           ,-7.0786          ,-2.6773          ,-1.743                       ,-3.3872                      ,6.376                        ,1.8275              ,-2.1148             ,2.1329              ,       0
7.4853                 ,-15.052                ,3.5112                 ,7.4575           ,-6.1178          ,1.7687           ,-1.2774                      ,-5.2022                      ,-2.9347                      ,-0.4264             ,4.1733              ,-1.6447             ,       0
5.3043                 ,-4.1088                ,9.7729                 ,5.514            ,-0.2             ,8.1072           ,-0.5508                      ,-6.1397                      ,6.3362                       ,2.9805              ,1.2597              ,-0.8763             ,       0
0.1032                 ,2.7586                 ,11.3937                ,-0.781           ,3.1288           ,9.2613           ,0.2475                       ,-1.5863                      ,1.4724                       ,0.8434              ,-0.1736             ,-0.4687             ,       0
-1.6878                ,3.7546                 ,11.7936                ,-0.9553          ,4.3779           ,8.7231           ,0.1477                       ,-0.1556                      ,-0.4399                      ,0.3981              ,-0.2703             ,0.044               ,       0
1.8042                 ,4.6813                 ,10.424                 ,0.4092           ,4.8112           ,8.5355           ,-1.5647                      ,-1.6454                      ,1.0109                       ,0.4797              ,0.8411              ,1.4674              ,       0
0.1738                 ,6.6096                 ,9.0033                 ,0.4194           ,5.1476           ,8.3365           ,0.4445                       ,0.78                         ,1.7776                       ,0.6666              ,-0.0174             ,0.3951              ,       0
-0.5037                ,7.2727                 ,7.2772                 ,0.1683           ,4.7685           ,8.5676           ,-0.25                        ,0.1083                       ,-2.4395                      ,-0.0971             ,0.2199              ,0.4168              ,       0
2.933                  ,5.7239                 ,11.0501                ,0.0968           ,3.8493           ,9.0191           ,-0.9038                      ,0.1141                       ,-2.1895                      ,-0.7284             ,-0.6787             ,0.0105              ,       0
0.6849                 ,3.8073                 ,6.4187                 ,2.4027           ,4.9413           ,8.1229           ,-1.7048                      ,-1.0597                      ,-1.9494                      ,0.4997              ,-0.2824             ,0.0864              ,       0
